pair,row_id,src_lemma,tgt_lemma,y_src_log1p,y_tgt_log1p,y_asym,meaning_conflicts,grammatical_conflicts,top_shap_features,top_shap_values
EN<->IT,122,activity,attività,9.574354268871003,3.0471540030683975,6.527200265802605,True,no_conflicts,"['cat__semantic_field_attribute', 'cat__semantic_field_contact', 'cat__semantic_field_possession']","[-0.7313046455383301, -0.6507062315940857, -0.5208368897438049]"
EN<->IT,16,respect,rispetto,10.119154799884008,4.1043686129651515,6.014786186918856,False,gender_number_forms,"['cat__semantic_field_attribute', 'cat__semantic_field_contact', 'cat__tgt_pos_det']","[-0.7348130345344543, -0.6605888605117798, 0.5195610523223877]"
EN<->IT,88,serious,serio,9.899803924451124,3.974511466628088,5.925292457823036,True,no_conflicts,"['cat__semantic_field_contact', 'cat__tgt_pos_det', 'cat__semantic_field_feeling']","[-0.623982310295105, 0.5432377457618713, 0.47642219066619873]"
EN<->IT,188,average,media,9.243593685041942,3.6744262603454425,5.5691674246964995,True,no_conflicts,"['cat__semantic_field_contact', 'cat__tgt_pos_det', 'cat__semantic_field_attribute']","[-0.6669417023658752, 0.5272037982940674, -0.4736522138118744]"
EN<->IT,186,name,nome,9.720937080657114,4.166590931584764,5.55434614907235,False,gender_number_forms,"['cat__semantic_field_contact', 'cat__semantic_field_possession', 'num__tgt_session_count']","[-0.7880744934082031, -0.6959885358810425, 0.5720766186714172]"
EN<->IT,73,pool,piscina,8.832264271788091,3.4659094989810377,5.366354772807053,False,gender_number_forms,"['cat__semantic_field_possession', 'cat__semantic_field_contact', 'num__tgt_session_count']","[-0.8150942921638489, -0.7049000859260559, -0.6348714232444763]"
EN<->IT,96,meter,metro,9.53984510478312,4.2385673200593965,5.301277784723724,True,no_conflicts,"['cat__semantic_field_contact', 'cat__semantic_field_possession', 'cat__semantic_field_attribute']","[-0.7448055744171143, -0.6202444434165955, -0.5181013345718384]"
EN<->IT,185,height,altezza,8.396575934804915,3.211881047955363,5.1846948868495515,False,no_conflicts,"['cat__semantic_field_act', 'num__src_session_count', 'cat__semantic_field_possession']","[1.0297269821166992, 0.7874904274940491, -0.7248970866203308]"
EN<->IT,119,help,aiuto,8.79118545681802,3.647618513010307,5.143566943807713,False,gender_number_forms,"['num__tgt_session_count', 'cat__tgt_pos_det', 'cat__semantic_field_contact']","[-0.6955633163452148, 0.6037863492965698, -0.6017852425575256]"
EN<->IT,127,thank,grazie,8.592172245713439,3.593953633284236,4.998218612429202,True,verb_forms,"['cat__semantic_field_contact', 'cat__semantic_field_possession', 'cat__semantic_field_feeling']","[-0.7991077899932861, -0.6718409061431885, 0.6382083296775818]"
EN<->IT,98,parent,genitore,8.643157075779488,3.662142667291089,4.981014408488399,False,gender_number_forms,"['num__tgt_session_count', 'cat__semantic_field_contact', 'cat__semantic_field_attribute']","[0.8215023875236511, -0.7910090088844299, -0.7505322098731995]"
EN<->IT,6,shape,forma,8.842549475987482,3.8846822599669286,4.957867216020554,True,no_conflicts,"['cat__semantic_field_contact', 'cat__semantic_field_possession', 'cat__semantic_field_feeling']","[-0.7104665637016296, -0.6228583455085754, 0.4935275614261627]"
EN<->IT,183,tired,stanco,8.973062680424064,4.130498083720353,4.842564596703712,False,no_conflicts,"['cat__semantic_field_possession', 'cat__semantic_field_contact', 'cat__semantic_field_attribute']","[-0.7416305541992188, -0.6796044111251831, -0.6473215222358704]"
EN<->IT,131,fly,mosca,9.944033620100841,5.107721393234039,4.836312226866802,True,verb_forms,"['cat__semantic_field_contact', 'cat__semantic_field_possession', 'cat__semantic_field_feeling']","[-0.7701665759086609, -0.7395627498626709, 0.5210860371589661]"
EN<->IT,0,country,paese,9.474482257815115,4.675939903894723,4.798542353920392,True,gender_number_forms,"['cat__semantic_field_contact', 'cat__tgt_pos_det', 'cat__semantic_field_time']","[-0.694851815700531, 0.5046771764755249, -0.5001732707023621]"
EN<->IT,30,happy,felice,8.894389798743513,4.107012441582608,4.787377357160905,True,no_conflicts,"['cat__semantic_field_attribute', 'cat__semantic_field_possession', 'cat__semantic_field_contact']","[-0.7840944528579712, -0.6557568311691284, -0.6279214024543762]"
EN<->IT,172,restaurant,ristorante,9.243147331752334,4.542618455314608,4.700528876437726,False,gender_number_forms,"['cat__semantic_field_contact', 'cat__semantic_field_attribute', 'cat__semantic_field_possession']","[-0.8254039883613586, -0.7579249739646912, -0.4827329218387604]"
EN<->IT,15,that,che,8.230469301734024,3.6005477615275088,4.6299215402065155,True,no_conflicts,"['cat__semantic_field_contact', 'cat__semantic_field_feeling', 'cat__semantic_field_possession']","[-0.6759473085403442, 0.6529755592346191, -0.5841290950775146]"
EN<->IT,24,if,se,8.70157724172409,4.096394735346892,4.605182506377198,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_contact', 'cat__semantic_field_possession']","[0.7217882871627808, -0.7085966467857361, -0.5325123071670532]"
EN<->IT,161,family,famiglia,8.727769774805191,4.202626847002425,4.525142927802766,False,gender_number_forms,"['cat__semantic_field_contact', 'num__tgt_session_count', 'cat__semantic_field_time']","[-0.7650763392448425, 0.6447782516479492, -0.5895665287971497]"
EN<->IT,19,attack,attacco,3.536077258007019,11.97991213457208,-8.443834876565061,False,no_conflicts,"['cat__semantic_field_attribute', 'cat__semantic_field_act', 'cat__semantic_field_contact']","[-0.7272818684577942, 0.7153534889221191, -0.5907516479492188]"
EN<->IT,97,player,attore,3.7768391900190594,11.801134863638897,-8.024295673619838,True,no_conflicts,"['num__src_session_count', 'cat__semantic_field_act', 'cat__semantic_field_contact']","[0.8066103458404541, 0.7481982707977295, -0.6532618999481201]"
EN<->IT,167,amount,quantità,4.144583375005959,11.976796060507633,-7.832212685501674,True,no_conflicts,"['num__frequency', 'cat__semantic_field_attribute', 'num__tgt_session_count']","[0.7783758640289307, -0.7492692470550537, 0.6702154278755188]"
EN<->IT,79,literature,letteratura,4.965588692643848,11.692163220808068,-6.726574528164219,False,no_conflicts,"['num__tgt_session_count', 'cat__semantic_field_contact', 'cat__semantic_field_attribute']","[-1.5234971046447754, -0.5921912789344788, -0.5478423833847046]"
EN<->IT,136,risk,pericolo,5.429109551090255,11.979640010550105,-6.55053045945985,True,no_conflicts,"['num__concreteness', 'cat__semantic_field_contact', 'cat__semantic_field_possession']","[1.1422395706176758, -0.567044734954834, -0.5559119582176208]"
EN<->IT,145,treatment,trattamento,6.110001156756149,11.956741843798746,-5.846740687042597,False,no_conflicts,"['cat__semantic_field_act', 'num__src_session_count', 'cat__semantic_field_contact']","[0.7610462307929993, 0.7073571085929871, -0.6432091593742371]"
EN<->IT,101,route,percorso,3.6745237193781106,9.327945099555292,-5.653421380177181,True,gender_number_forms,"['num__tgt_session_count', 'num__frequency', 'cat__semantic_field_contact']","[-1.1429258584976196, -0.7866724133491516, -0.6490048766136169]"
EN<->IT,4,path,percorso,3.7526727984574824,9.327945099555292,-5.57527230109781,True,no_conflicts,"['num__tgt_session_count', 'num__frequency', 'cat__semantic_field_possession']","[-0.8937345147132874, -0.6925488114356995, -0.6816692352294922]"
EN<->IT,140,decide,decidere,3.394490527579952,8.757806767818668,-5.363316240238715,True,verb_forms,"['cat__semantic_field_contact', 'cat__semantic_field_feeling', 'cat__semantic_field_possession']","[-0.7290030717849731, 0.6680355072021484, -0.5028823018074036]"
EN<->IT,92,intention,intenzione,7.417551206132481,11.976796060507633,-4.559244854375152,True,no_conflicts,"['num__tgt_session_count', 'num__src_session_count', 'num__frequency']","[-0.8849096298217773, 0.8651769757270813, -0.8143472671508789]"
EN<->IT,72,official,funzionario,7.674066864976707,11.953653917258222,-4.279587052281515,False,no_conflicts,"['num__concreteness', 'cat__semantic_field_contact', 'num__frequency']","[1.0929546356201172, -0.6498897671699524, 0.5795862674713135]"
EN<->IT,71,heart,cuore,8.105179255921547,11.95750714381949,-3.8523278878979426,False,no_conflicts,"['cat__semantic_field_act', 'cat__semantic_field_possession', 'num__concreteness']","[1.0390174388885498, -0.7256717085838318, -0.7231311202049255]"
EN<->IT,9,protection,protezione,8.150941785215622,11.97991213457208,-3.8289703493564584,False,no_conflicts,"['num__src_session_count', 'cat__semantic_field_act', 'num__concreteness']","[0.9131914377212524, 0.6835306286811829, 0.6443698406219482]"
EN<->IT,117,choose,scegliere,3.5983543366166524,7.40054350817658,-3.8021891715599274,False,verb_forms,"['cat__semantic_field_contact', 'cat__semantic_field_possession', 'cat__semantic_field_attribute']","[-0.6678400039672852, -0.5658784508705139, -0.49766603112220764]"
EN<->IT,133,behavior,comportamento,8.33394398225384,11.979748869045222,-3.6458048867913817,True,no_conflicts,"['num__src_session_count', 'num__src_lemma_length', 'cat__semantic_field_contact']","[0.8425536155700684, 0.6971441507339478, -0.6234269738197327]"
EN<->IT,141,own,proprio,3.708431846672643,7.343986059954898,-3.635554213282255,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_contact', 'cat__semantic_field_possession']","[0.7544406056404114, -0.6432859301567078, -0.5327317714691162]"
EN<->IT,106,ours,nostro,3.6200725778288048,7.240309466463407,-3.6202368886346026,True,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_possession', 'num__diff_sessions']","[0.7418908476829529, -0.675658106803894, 0.6302130222320557]"
EN<->IT,148,whole,intero,4.549851133837723,8.12984799115802,-3.579996857320296,True,no_conflicts,"['cat__semantic_field_possession', 'cat__semantic_field_contact', 'cat__tgt_pos_det']","[-0.7295688390731812, -0.6063231825828552, 0.5560880899429321]"
