pair,row_id,src_lemma,tgt_lemma,y_src_log1p,y_tgt_log1p,y_asym,meaning_conflicts,grammatical_conflicts,top_shap_features,top_shap_values
EN<->PT,74,sense,sentido,10.239443121421836,0.06209128033505376,10.177351841086782,False,no_conflicts,"['cat__semantic_field_feeling', 'num__src_session_count', 'cat__semantic_field_change']","[1.573397159576416, 1.424054741859436, 1.048610806465149]"
EN<->PT,220,member,membro,9.943430494242646,0.019510316930608434,9.923920177312038,False,gender_number_forms,"['num__src_session_count', 'cat__semantic_field_feeling', 'cat__semantic_field_change']","[1.858014702796936, 1.5511144399642944, 1.0518008470535278]"
EN<->PT,166,climate,clima,9.489634411788657,0.06365847901407158,9.425975932774586,True,gender_number_forms,"['num__src_session_count', 'cat__semantic_field_feeling', 'cat__semantic_field_state']","[2.126133680343628, 1.3905390501022339, -1.184921383857727]"
EN<->PT,10,scene,cena,9.939497655171644,0.9005433156039861,9.038954339567658,False,gender_number_forms,"['num__src_session_count', 'cat__semantic_field_feeling', 'cat__semantic_field_change']","[2.1055891513824463, 1.5737909078598022, 0.9579096436500549]"
EN<->PT,145,function,função,11.770000337852991,3.8182145909216163,7.951785746931375,True,no_conflicts,"['num__src_session_count', 'cat__semantic_field_feeling', 'num__concreteness']","[2.981452703475952, 1.4220101833343506, 1.2377768754959106]"
EN<->PT,53,flower,flor,9.158368240915356,1.3966746166214195,7.761693624293937,False,gender_number_forms,"['cat__semantic_field_feeling', 'cat__semantic_field_body', 'cat__semantic_field_change']","[1.3388056755065918, -1.172335147857666, 1.0787051916122437]"
EN<->PT,197,possibility,possibilidade,7.4647240466485165,0.05604488020253718,7.408679166445979,False,no_conflicts,"['cat__semantic_field_feeling', 'num__src_session_count', 'cat__semantic_field_change']","[1.5430668592453003, 1.2277323007583618, 1.1390345096588135]"
EN<->PT,162,section,parte,8.36907685426618,1.0117103333280766,7.357366520938102,True,gender_number_forms,"['cat__semantic_field_person', 'cat__semantic_field_feeling', 'num__concreteness']","[-1.4251596927642822, 1.3025181293487549, 0.8717581033706665]"
EN<->PT,14,none,nenhum,10.013911477573222,3.6925731448564703,6.321338332716752,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_change', 'num__concreteness']","[1.2570199966430664, 1.2282387018203735, 0.8803387880325317]"
EN<->PT,135,since,desde,10.40381219164897,4.189340965243033,6.214471226405938,False,no_conflicts,"['cat__semantic_field_feeling', 'cat__semantic_field_state', 'num__tgt_session_count']","[1.4363452196121216, -0.7352845668792725, 0.6743099093437195]"
